model_key,model,condition,patient_id,repetition,run,timestamp,raw_valid_json,schema_match,repair_needed,structural_drift_score,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,2,2026-05-22T02:36:25.805256,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,3,2026-05-22T02:36:31.213665,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,3,2026-05-22T02:36:35.790169,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,1,2026-05-22T02:36:38.678092,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,1,2026-05-22T02:36:44.607507,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,2,2026-05-22T02:36:47.505514,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,2,2026-05-22T02:36:54.565142,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,3,2026-05-22T02:36:58.169026,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,3,2026-05-22T02:37:00.812530,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,1,2026-05-22T02:37:04.792847,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,1,2026-05-22T02:37:07.725896,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,2,2026-05-22T02:37:12.903631,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,2,2026-05-22T02:37:18.960179,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,3,2026-05-22T02:37:23.121797,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,3,2026-05-22T02:37:26.678531,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,1,2026-05-22T02:37:29.304010,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,1,2026-05-22T02:37:31.352328,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,2,2026-05-22T02:37:34.006641,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,2,2026-05-22T02:37:37.743939,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,3,2026-05-22T02:37:41.791696,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,3,2026-05-22T02:37:44.376748,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,1,2026-05-22T02:37:49.881951,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,1,2026-05-22T02:37:52.753726,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,2,2026-05-22T02:37:56.742996,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,2,2026-05-22T02:37:59.311314,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,3,2026-05-22T02:38:05.432422,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,3,2026-05-22T02:38:08.531887,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,1,2026-05-22T02:38:13.269748,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,1,2026-05-22T02:38:18.124650,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,2,2026-05-22T02:38:25.211227,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,2,2026-05-22T02:38:29.590659,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,3,2026-05-22T02:38:32.632266,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,3,2026-05-22T02:38:34.308910,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,1,2026-05-22T02:38:42.999613,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,1,2026-05-22T02:38:45.323420,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,2,2026-05-22T02:38:49.403744,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,2,2026-05-22T02:38:51.390775,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,3,2026-05-22T02:38:53.921729,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,3,2026-05-22T02:38:55.515450,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,2,1,2026-05-22T02:38:57.393926,1,1,0,0.0,0,0,0,0
